City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
195,Yerbogachen,RU,2022-01-25 01:16:52,61.2767,108.0108,-11.04,99,100,3.06
196,Moranbah,AU,2022-01-25 01:16:52,-22.0016,148.0466,77.32,65,100,10.8
197,Jiuquan,CN,2022-01-25 01:16:53,39.7432,98.5174,18.54,54,100,3.58
198,Seguela,CI,2022-01-25 01:16:53,7.9611,-6.6731,71.08,19,12,4.09
199,Dingle,PH,2022-01-25 01:16:53,10.9995,122.6711,77.05,91,100,9.78
200,Hamilton,US,2022-01-25 01:09:46,39.1834,-84.5333,39.04,93,100,5.01
201,Lagunas,PE,2022-01-25 01:16:54,-5.2269,-75.6753,77.34,81,100,1.12
202,Bara,NG,2022-01-25 01:16:54,10.3744,10.7288,63.16,21,3,8.12
203,Burns Lake,CA,2022-01-25 01:16:55,54.2331,-125.7533,26.02,94,100,2.01
204,Shelburne,CA,2022-01-25 01:15:23,44.0787,-80.2041,18.23,86,100,4.36
205,Dawei,MM,2022-01-25 01:16:55,14.0833,98.2,67.05,68,7,3.58
206,Carutapera,BR,2022-01-25 01:16:55,-1.195,-46.02,76.87,90,100,6.42
207,Monrovia,LR,2022-01-25 01:16:56,6.3005,-10.7969,74.97,83,86,3.31
208,Tabou,CI,2022-01-25 01:16:56,4.423,-7.3528,77.34,85,34,1.52
209,Mendi,PG,2022-01-25 01:16:56,-6.1761,143.6513,71.28,58,100,3.65
210,Agadez,NE,2022-01-25 01:16:57,19.75,10.25,51.21,28,0,10.07
211,Nanortalik,GL,2022-01-25 01:16:57,60.1432,-45.2371,27.59,65,100,22.12
212,Dolores,AR,2022-01-25 01:16:58,-36.3132,-57.6792,71.17,94,98,7.29
213,Nemuro,JP,2022-01-25 01:09:53,43.3236,145.575,24.58,70,56,10.63
214,Maniitsoq,GL,2022-01-25 01:16:58,65.4167,-52.9,20.95,80,100,19.77
215,Siocon,PH,2022-01-25 01:16:59,7.7061,122.1353,78.3,84,100,5.66
216,Watsa,CD,2022-01-25 01:16:59,3.0372,29.5355,68.99,65,100,1.28
217,Port Augusta,AU,2022-01-25 01:17:00,-32.5,137.7667,86.7,48,0,2.19
218,Tiksi,RU,2022-01-25 01:12:51,71.6872,128.8694,-8.18,97,100,8.46
219,Namatanai,PG,2022-01-25 01:11:32,-3.6667,152.4333,85.08,69,97,4.41
220,Myitkyina,MM,2022-01-25 01:17:01,25.3833,97.4,55.65,99,100,1.43
221,Ahipara,NZ,2022-01-25 01:11:41,-35.1667,173.1667,71.04,94,87,8.97
